806633062,251744981,21849213
802036758,258382746,21742722
799350697,237726354,17032098
792419317,268887873,21694721
804512157,267449642,13069959
802578018,247910110,21740465
812466780,253013107,22429879
799163880,255894110,13038870
812069724,261602137,21714937
824064950,241737695,12905814
812845010,263895578,21745124
805104494,269803460,21899378
803606414,251279311,12927238
814957519,256524931,13196974
796904203,247778080,13168888
804275872,242470636,12932333
805525589,253136255,12966559
795593373,236776179,13080817
808117169,253308529,22633203
803562060,263535000,21593307
799021507,243074822,13066599
804236882,250718715,12995656
798543198,243545261,12993767
1101823700,245580968,13087539
806966141,248125740,12951522
974042258,243881417,21734000
804604111,268070954,13014247
805184956,264530710,21801134
824514734,265196396,21914674
825282169,245638279,13059661
805931619,237588009,13089944
797302171,264843534,21815539
805258612,248793861,13034070
805061713,251668380,21772981
808993063,248496402,21928357
